"","X","id","dia","sentence","rating","Blocking","Identidy"
"348",87,"S087","sou","s4",7,"no","yes"
"349",88,"S088","sou","s1",5,"yes","no"
"350",88,"S088","sou","s2",7,"no","no"
"351",88,"S088","sou","s3",7,"no","yes"
"352",88,"S088","sou","s4",7,"no","yes"
"353",89,"S089","sou","s1",6,"yes","no"
"354",89,"S089","sou","s2",6,"no","no"
"355",89,"S089","sou","s3",7,"no","yes"
"356",89,"S089","sou","s4",7,"no","yes"
"357",90,"S090","sou","s1",5,"yes","no"
"358",90,"S090","sou","s2",7,"no","no"
"359",90,"S090","sou","s3",7,"no","yes"
"360",90,"S090","sou","s4",7,"no","yes"
"361",91,"S091","sou","s1",5,"yes","no"
"362",91,"S091","sou","s2",6,"no","no"
"363",91,"S091","sou","s3",7,"no","yes"
"364",91,"S091","sou","s4",7,"no","yes"
"365",92,"S092","sou","s1",4,"yes","no"
"366",92,"S092","sou","s2",6,"no","no"
"367",92,"S092","sou","s3",7,"no","yes"
"368",92,"S092","sou","s4",7,"no","yes"
"369",93,"S093","sou","s1",7,"yes","no"
"370",93,"S093","sou","s2",5,"no","no"
"371",93,"S093","sou","s3",7,"no","yes"
"372",93,"S093","sou","s4",6,"no","yes"
"373",94,"S094","sou","s1",7,"yes","no"
"374",94,"S094","sou","s2",4,"no","no"
"375",94,"S094","sou","s3",7,"no","yes"
"376",94,"S094","sou","s4",7,"no","yes"
"377",95,"S095","sou","s1",5,"yes","no"
"378",95,"S095","sou","s2",7,"no","no"
"379",95,"S095","sou","s3",6,"no","yes"
"380",95,"S095","sou","s4",7,"no","yes"
"381",96,"S096","sou","s1",3,"yes","no"
"382",96,"S096","sou","s2",5,"no","no"
"383",96,"S096","sou","s3",7,"no","yes"
"384",96,"S096","sou","s4",7,"no","yes"
"385",97,"S097","sou","s1",5,"yes","no"
"386",97,"S097","sou","s2",6,"no","no"
"387",97,"S097","sou","s3",7,"no","yes"
"388",97,"S097","sou","s4",7,"no","yes"
"389",98,"S098","sou","s1",5,"yes","no"
"390",98,"S098","sou","s2",5,"no","no"
"391",98,"S098","sou","s3",7,"no","yes"
"392",98,"S098","sou","s4",7,"no","yes"
"393",99,"S099","sou","s1",7,"yes","no"
"394",99,"S099","sou","s2",7,"no","no"
"395",99,"S099","sou","s3",7,"no","yes"
"396",99,"S099","sou","s4",7,"no","yes"
"397",100,"S100","sou","s1",5,"yes","no"
"398",100,"S100","sou","s2",3,"no","no"
"399",100,"S100","sou","s3",6,"no","yes"
"400",100,"S100","sou","s4",5,"no","yes"
